2022-10-13 18:11:52 status half-configured patch:amd64 2.7.6-3+deb10u1
2022-10-13 18:11:52 status installed patch:amd64 2.7.6-3+deb10u1
2022-10-13 18:11:52 configure libsasl2-2:amd64 2.1.27+dfsg-1+deb10u2 <none>
2022-10-13 18:11:52 status unpacked libsasl2-2:amd64 2.1.27+dfsg-1+deb10u2
2022-10-13 18:11:52 status half-configured libsasl2-2:amd64 2.1.27+dfsg-1+deb10u2
2022-10-13 18:11:52 status installed libsasl2-2:amd64 2.1.27+dfsg-1+deb10u2
2022-10-13 18:11:52 configure libperl5.28:amd64 5.28.1-6+deb10u1 <none>
2022-10-13 18:11:52 status unpacked libperl5.28:amd64 5.28.1-6+deb10u1
2022-10-13 18:11:52 status half-configured libperl5.28:amd64 5.28.1-6+deb10u1
2022-10-13 18:11:52 status installed libperl5.28:amd64 5.28.1-6+deb10u1
2022-10-13 18:11:52 configure libmpx2:amd64 8.3.0-6 <none>
2022-10-13 18:11:52 status unpacked libmpx2:amd64 8.3.0-6
2022-10-13 18:11:52 status half-configured libmpx2:amd64 8.3.0-6
2022-10-13 18:11:52 status installed libmpx2:amd64 8.3.0-6
2022-10-13 18:11:52 configure libubsan1:amd64 8.3.0-6 <none>
2022-10-13 18:11:52 status unpacked libubsan1:amd64 8.3.0-6
2022-10-13 18:11:52 status half-configured libubsan1:amd64 8.3.0-6
2022-10-13 18:11:52 status installed libubsan1:amd64 8.3.0-6
2022-10-13 18:11:52 configure libisl19:amd64 0.20-2 <none>
2022-10-13 18:11:52 status unpacked libisl19:amd64 0.20-2
